team,group,heroes,low,high
P1_dahangong,han_gong,"sp曹操,sp貂蝉,sp卢植",40000,40000
P1_faguan_liubei,faguan,"sp关羽,sp法正,刘备",10000,10000
P1_faguan_madai,faguan,"sp关羽,sp法正,马岱",12000,12000
P1_huangma,huangma,"sp马超,sp皇甫嵩,许攸",9000,10000
P1_wumou,wumou,"sp荀彧,sp郭嘉,贾诩",4500,5500
P1_qilin,qilin,"姜维,庞统,诸葛亮",2500,3000
P1_guanguanzhang,guanguanzhang,"关羽,关银屏,张飞",500,500
P1_beifa,beifa,"sp诸葛亮,关兴,张苞",1000,1000
P1_wugong,wu_gong,"sp周瑜,陆逊,sp吕蒙",1000,1500
P1_wuqi,wuqi,"孙尚香,凌统,周泰",1000,1000
P1_qungong,qungong,"sp袁绍,沮授,sp朱儁",1000,1500
P1_sanxian,sanxian,"张角,左慈,于吉",1000,1000
P1_taiwei,taiwei,"司马懿,曹操,满宠",2500,3000
P1_liaoji,liaoji,"张辽,王元姬,郭嘉",1000,1000
P1H_dahangong_highspec,han_gong,"sp曹操,sp貂蝉,sp卢植",90000,100000
P1H_faguan_madai_wuxia,faguan,"sp关羽,sp法正,马岱",42000,45000
P1H_faguan_liubei_wuxia,faguan,"sp关羽,sp法正,刘备",35000,38000
P1H_huangma_highspec,huangma,"sp马超,sp皇甫嵩,许攸",28000,30000
P1H_wumou_wuxia,wumou,"sp荀彧,sp郭嘉,贾诩",11000,13000
P1H_qungong_wuxia,qungong,"sp袁绍,沮授,sp朱儁",10000,11000
P2_luzhi_dahangong,han_gong,"sp曹操,sp貂蝉,sp卢植",25000,25000
P2_faguan_liubei,faguan,"sp关羽,sp法正,刘备",10000,10000
P2_faguan_madai,faguan,"sp关羽,sp法正,马岱",12000,12000
P2_huangma,huangma,"sp马超,sp皇甫嵩,许攸",5000,6000
P2_wumou,wumou,"sp荀彧,sp郭嘉,贾诩",5000,5000
P2_taiwei,taiwei,"司马懿,曹操,满宠",1500,1500
P2_wugong_shejigong,wu_gong,"sp周瑜,陆逊,sp吕蒙",1500,1500
P2_qungong_lowtier,qungong,"sp袁绍,沮授,sp朱儁",500,1000
P2_sanxian_lowtier,sanxian,"张角,左慈,于吉",500,1000
P2_wuqi_lowtier,wuqi,"孙尚香,凌统,周泰",500,1000
